"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"1750",448.6844,239.7428,0.39487773,480.3605,284.70636,0.5649208,467.45236,260.56122,0.79366994,485.6606,262.45792,0.6702242,516.74603,254.44994,0.57079214,562.6689,252.07072,0.5088486,488.09378,219.00262,0.6154537,555.0472,172.95262,0.6621401,479.0226,119.463554,0.8775064,364.4637,793.2244,0.48519903,1.377674,0.122996256,0.056316398,0.18536152,0.09295932,0.22901326,0.092503704,0.05870986,0.33305722,0.07626433,2.6248558,0.26248556,0.056316398,1.377674,1.4735837280750275,2.947167456150055,0.7421652734279632,3.7108263671398163,0.7221067001422247,4.332640200853348,0.6555676715714591,4.588973701000214,0.46772260069847105,7.015839010477066,6.1436324,0.61436325,0,2,8
"1751",479.89493,267.61127,0.468064,482.68152,286.93143,0.43207598,468.54153,260.70895,0.8406855,492.218,267.44223,0.6510428,520.6365,255.72417,0.6154569,561.35443,252.39038,0.5526958,488.30783,218.54312,0.63794976,555.394,175.06908,0.80294406,493.61755,126.35381,0.7020345,792.51886,761.6714,0.401217,1.3947319,0.107176036,0.036638204,0.27455527,0.13646002,0.045092095,0.016897095,0.07148934,0.53798795,14.307217,16.928246,1.6928246,0.016897095,14.307217,0.9776550829410553,1.9553101658821106,1.0155474245548248,5.077737122774124,0.9006084948778152,5.4036509692668915,0.8607806861400604,6.025464802980423,0.5646013438701629,8.469020158052444,6.104166,0.6104166,0,3,8
"1752",482.81824,268.62546,0.5236593,486.18246,288.14856,0.4731708,467.2461,260.46674,0.81108767,494.12152,268.8553,0.6890443,523.1308,254.5209,0.59261054,562.95123,256.10547,0.70704913,490.59378,217.02345,0.55146855,558.86035,176.77719,0.8502158,512.727,128.10367,0.8364905,365.19513,797.3946,0.55234975,0.10314132,0.12354951,0.043929692,0.079022974,0.09231282,0.1347906,0.0914996,0.12881242,0.63964623,14.293811,15.730516,1.5730517,0.043929692,14.293811,1.6329381465911865,3.265876293182373,1.2759581327438354,6.379790663719177,1.1084648023049037,6.650788813829422,0.9966718086174556,6.976702660322189,0.6605106512705485,9.907659769058228,6.5871463,0.65871465,0,1,7
"1753",486.07867,267.55078,0.50003284,486.34357,287.1669,0.51070327,468.61917,258.79324,0.8014476,492.72345,263.42453,0.6510612,524.0898,253.96858,0.57817924,560.20715,258.1119,0.57151955,494.13635,210.0925,0.59819376,569.5891,177.2434,0.7489727,530.84357,123.34668,0.83602613,365.5343,796.76843,0.44775894,0.114432804,0.033159684,0.0721566,0.18692753,0.03688889,0.1133126,0.25946084,0.3579628,0.62435687,0.023737308,1.8223958,0.18223958,0.023737308,0.62435687,0.8776456341147423,1.7552912682294846,1.279056665301323,6.395283326506615,1.0936717068155606,6.562030240893364,0.9761469130005155,6.833028391003609,0.6458663235108058,9.687994852662086,6.243896,0.6243896,0,1,8
"1754",483.86392,263.08554,0.46113658,491.3056,284.3715,0.7867253,475.24374,259.6285,0.7152105,495.21976,261.19162,0.79254246,524.4285,255.47691,0.609464,528.43774,274.4258,0.56276613,501.26453,206.36098,0.44840163,579.7829,179.48033,0.7233885,542.2061,122.36925,0.7893447,365.21014,796.49963,0.47958046,0.16614418,0.18984239,0.22256742,0.11164148,0.051530052,1.1904429,0.26819378,0.34787798,0.38015038,0.014036897,2.9424274,0.29424274,0.014036897,1.1904429,0.23824115842580795,0.4764823168516159,0.8009688347578049,4.004844173789024,1.114921011030674,6.689526066184044,0.9794675686529705,6.856272980570793,0.6516173074642817,9.774259611964226,6.3685603,0.636856,0,3,7
"1755",475.7391,259.24414,0.3714257,495.0278,285.17746,0.63978493,478.8517,258.47192,0.69929457,499.57715,260.29074,0.7481632,527.47797,254.49695,0.60745037,527.01385,274.80542,0.5519637,505.06702,208.56335,0.6633202,585.8995,184.34398,0.6599046,551.8785,122.03925,0.81577873,365.952,796.50397,0.5810842,0.29957193,0.12694858,0.12629396,0.14831813,0.10676769,0.049120743,0.14647487,0.26048583,0.3225997,0.024728814,1.6113102,0.16113102,0.024728814,0.3225997,0.22768688201904297,0.45537376403808594,0.7806979268789291,3.9034896343946457,0.6943291996916136,4.165975198149681,0.9786652986492429,6.850657090544701,0.6446624487638474,9.66993673145771,6.33817,0.633817,0,1,9
"1756",488.3243,263.87277,0.41313553,499.21307,284.6655,0.6987455,483.58472,260.53488,0.81786263,504.50644,262.04337,0.72571236,528.87537,249.6268,0.56101143,535.35345,272.84784,0.4948302,504.25812,207.82893,0.5337355,589.03143,181.44244,0.7243958,554.12,117.77919,0.86256146,452.44397,143.93712,0.69197947,0.44697952,0.14054896,0.1721017,0.17438655,0.16888873,0.28554246,0.03641873,0.14231446,0.16045952,21.942457,23.670097,2.3670096,0.03641873,21.942457,1.2640703320503235,2.528140664100647,0.9155349344015121,4.577674672007561,1.0450832123557727,6.270499274134636,0.9332835482699531,6.532984837889671,0.7715662171443304,11.573493257164955,6.5239697,0.652397,0,2,8
"1757",487.86304,263.4937,0.43879116,499.0494,284.69348,0.7148558,483.40527,259.33228,0.81544226,504.78693,261.34872,0.7602822,528.2584,249.12369,0.6030395,529.1118,273.23444,0.5055292,503.68613,208.51384,0.57826865,588.7163,181.477,0.72478884,556.843,119.488106,0.85207856,792.3819,758.4215,0.57591957,0.019901386,0.005534701,0.040530667,0.024971077,0.026535964,0.20845331,0.029744653,0.010567137,0.10716159,23.408186,23.881586,2.3881586,0.005534701,23.408186,2.3775840997695923,4.755168199539185,1.0785563081502914,5.392781540751457,1.1609722053011258,6.965833231806755,1.2369511191334044,8.65865783393383,0.8967281669378281,13.450922504067421,6.5689955,0.6568996,0,1,7
"1758",491.72888,263.88565,0.4450359,498.50946,283.7815,0.6693942,483.5008,258.08926,0.81595665,504.37042,261.13712,0.72040784,528.62885,249.49606,0.6142731,528.79376,273.64706,0.513944,504.99088,208.84991,0.48765266,588.0859,182.06044,0.7227372,558.9602,117.49735,0.9115716,365.6518,796.03,0.5652297,0.12952207,0.03532805,0.041555874,0.015572548,0.017507974,0.01736601,0.04491121,0.028632559,0.09687094,14.279471,14.706738,1.4706738,0.015572548,14.279471,1.9294161796569824,3.858832359313965,1.3362431526184082,6.681215763092041,1.1439092233777046,6.863455340266228,1.2052152901887894,8.436507031321526,0.9812203556299209,14.718305334448814,6.4662027,0.6466203,0,2,8
"1759",493.01416,263.60117,0.46029782,498.62186,283.4274,0.6518875,483.1115,257.8309,0.81373805,505.76938,261.38037,0.6833811,529.12646,248.63939,0.61971754,528.5151,273.98944,0.5125244,505.1189,208.0169,0.4986267,588.42426,181.12177,0.7126752,560.55804,116.49339,0.9044213,365.718,796.2199,0.5790861,0.04387953,0.012383524,0.015573891,0.047331594,0.033023827,0.0147153735,0.02809293,0.0332601,0.062902264,0.0067029027,0.29786596,0.029786596,0.0067029027,0.062902264,0.7502301977947354,1.5004603955894709,1.2833519238978623,6.416759619489312,1.1185003931944568,6.711002359166741,0.984748848048704,6.893241936340928,0.9661172286917766,14.491758430376649,6.436356,0.64363563,0,2,8
