Unnamed: 0,leftEar_x,leftEar_y,leftEar_p,leftShoulder_x,leftShoulder_y,leftShoulder_p,neck_x,neck_y,neck_p,nose_x,nose_y,nose_p,rightEar_x,rightEar_y,rightEar_p,rightShoulder_x,rightShoulder_y,rightShoulder_p,spineLower_x,spineLower_y,spineLower_p,spineMid_x,spineMid_y,spineMid_p,spineUpper_x,spineUpper_y,spineUpper_p,tailBase_x,tailBase_y,tailBase_p,Movement_leftEar,Movement_leftShoulder,Movement_neck,Movement_nose,Movement_rightEar,Movement_rightShoulder,Movement_spineLower,Movement_spineMid,Movement_spineUpper,Movement_tailBase,All_bp_movements_Animal_1_sum,All_bp_movements_Animal_1_mean,All_bp_movements_Animal_1_min,All_bp_movements_Animal_1_max,Mean_All_bp_movements_Animal_1_mean_2,Sum_All_bp_movements_Animal_1_mean_2,Mean_All_bp_movements_Animal_1_mean_5,Sum_All_bp_movements_Animal_1_mean_5,Mean_All_bp_movements_Animal_1_mean_6,Sum_All_bp_movements_Animal_1_mean_6,Mean_All_bp_movements_Animal_1_mean_7.5,Sum_All_bp_movements_Animal_1_mean_7.5,Mean_All_bp_movements_Animal_1_mean_15,Sum_All_bp_movements_Animal_1_mean_15,Sum_probabilities,Mean_probabilities,Low_prob_detections_0.1,Low_prob_detections_0.5,Low_prob_detections_0.75,kin_spine_x,kin_spine_y,kin_speed_px_s,kin_head_angle_deg,kin_turning_rate_deg,kin_move_turn_angle_deg,kin_nose_x,kin_nose_y,kin_spine_lower_x,kin_spine_lower_y,kin_left_shoulder_x,kin_left_shoulder_y,kin_right_shoulder_x,kin_right_shoulder_y,kin_tailbase_x,kin_tailbase_y,kin_head_spine_angle_deg
1429,604.87683,41.631756,0.8751681,564.7039,73.79406,0.9781538,592.07697,93.80357,0.9426859,576.497,86.60639,0.9057529,559.54877,103.50191,1.0,547.3511,74.8316,0.91990525,590.37585,113.519165,0.802896,539.7011,143.49324,0.99206287,542.2978,188.50241,0.9861331,622.1904,323.3741,0.8514683,0.09975032,0.07928775,0.10243575,0.04824444,0.07595523,0.07715646,0.027239999,0.04253133,0.035509303,0.08247152,0.67058206,0.067058206,0.027239999,0.10243575,0.0567347593605518,0.1134695187211036,0.0405308995395898,0.2026544976979494,0.0377563210204243,0.2265379261225462,0.0351802581655127,0.2462618071585893,0.0378986531247695,0.5684797968715429,9.254226,0.92542255,0,0,0,559.54877,103.50191,27.918828191454697,-57.86583737569711,1.0976922874307249,47.20425920851015,604.87683,41.631756,542.2978,188.50241,547.3511,74.8316,590.37585,113.519165,622.1904,323.3741,24.755263074016945
1430,604.7887,41.631756,0.87416524,564.42395,74.86331,0.98275936,591.6678,95.34628,1.0,576.497,86.74239,0.8817315,559.49023,104.85451,0.96472764,546.74347,76.15336,0.90432656,589.7294,115.45399,0.8053602,539.7011,143.49324,0.96969134,542.1841,188.3396,0.9864862,621.90564,323.44162,0.8627773,0.0029378256,0.036843244,0.053201716,0.0045333863,0.045128867,0.048490994,0.067999005,0.0,0.006619595,0.00975604,0.27551067,0.027551066,0.0,0.067999005,0.0473046358674764,0.0946092717349529,0.0383764367550611,0.1918821837753057,0.0383675939713915,0.2302055638283491,0.0362984274647065,0.2540889922529459,0.0371997531503438,0.5579962972551584,9.232025,0.9232025,0,0,0,559.49023,104.85451,26.41785943283015,-58.40188072206737,0.5360433463702563,40.31770357637685,604.7887,41.631756,542.1841,188.3396,546.74347,76.15336,589.7294,115.45399,621.90564,323.44162,23.909900851585764
1431,604.7887,41.789787,0.90545547,564.42395,74.88459,0.9761249,591.6291,95.35946,1.0,576.5267,86.94148,0.9025977,559.34174,104.9204,0.94768775,545.7913,76.81251,0.89186543,589.7294,116.06295,0.82196224,539.7011,144.6391,0.9641668,542.1841,188.3396,0.9846599,621.74786,323.4831,0.85966486,0.0052677155,0.0007092794,0.0013625992,0.006709558,0.005415408,0.038601443,0.020298768,0.038195293,0.0,0.005437858,0.12199793,0.012199793,0.0,0.038601443,0.0198754295706748,0.0397508591413497,0.0361505154520273,0.1807525772601366,0.0340136627977093,0.2040819767862558,0.0346293366913284,0.2424053568392992,0.0369783559193213,0.5546753387898207,9.254185,0.9254185,0,0,0,559.34174,104.9204,30.46681284520624,-58.30034519472535,0.1015355273420155,63.593534747917325,604.7887,41.789787,542.1841,188.3396,545.7913,76.81251,589.7294,116.06295,621.74786,323.4831,24.12715722544416
1432,604.87683,41.883484,0.8824123,564.2269,75.05683,0.99051845,591.5994,95.635254,1.0,576.5267,86.94148,0.90694386,559.34174,105.25476,0.9191568,545.7913,77.62166,0.9096746,589.7294,116.797325,0.83401275,539.80035,145.28616,0.9794013,542.1841,188.50241,0.99272084,621.7324,323.51562,0.85745656,0.0042878105,0.008723182,0.009246186,0.0,0.011145274,0.02697169,0.024479168,0.021821022,0.0054270425,0.0012003545,0.11330173,0.011330173,0.0,0.02697169,0.0117649831809103,0.0235299663618206,0.0329101102426648,0.164550551213324,0.0320137917685012,0.1920827506110072,0.0307731643053037,0.2154121501371264,0.0361092050249377,0.5416380753740668,9.272297,0.9272297,0,0,0,559.34174,105.25476,24.352255261745636,-58.18500281996345,0.1153423747619015,66.07176356614796,604.87683,41.883484,542.1841,188.50241,545.7913,77.62166,589.7294,116.797325,621.7324,323.51562,24.05313766229594
1433,605.12244,41.883484,0.93403673,564.2269,75.5855,0.99591017,591.53906,96.342224,1.0,576.497,87.94121,0.8687582,559.49023,106.64681,0.91137135,545.7913,78.24523,0.9230512,589.748,117.67731,0.8132978,540.04694,145.863,0.98392344,542.1841,188.67183,0.9933038,621.7324,323.51962,0.8590491,0.008186849,0.017622376,0.02365142,0.033338845,0.046664998,0.020785777,0.029339295,0.020911211,0.005647278,0.0001332601,0.2062813,0.02062813,0.0001332601,0.046664998,0.0159791517071425,0.0319583034142851,0.0277534736320376,0.1387673681601882,0.0308631135461231,0.1851786812767386,0.0303872686677745,0.2127108806744218,0.0361292946462829,0.5419394196942449,9.2827015,0.92827016,0,0,0,559.49023,106.64681,24.85431633859375,-58.2860168765161,0.1010140565526498,6.090707864607933,605.12244,41.883484,542.1841,188.67183,545.7913,78.24523,589.748,117.67731,621.7324,323.51962,23.25463178649047
1434,605.3956,42.93658,0.9136044,564.42395,78.14508,0.9836037,591.49133,96.97854,1.0,575.184,90.18456,0.841389,559.79816,107.55295,0.9274065,545.8238,79.44481,0.9339574,589.748,118.34655,0.8105117,540.04694,146.68916,0.9922587,542.1434,189.24399,0.9911628,621.6145,323.51962,0.8594124,0.036265187,0.085571654,0.021270065,0.08664474,0.03190085,0.040000558,0.022308094,0.027538555,0.019120177,0.003930664,0.37455055,0.037455056,0.003930664,0.08664474,0.0290415929630398,0.0580831859260797,0.02183284368366,0.1091642184183001,0.0293704040038088,0.1762224240228533,0.0318048195913434,0.2226337371394038,0.0335985194270809,0.5039777914062142,9.253306,0.92533064,0,0,0,559.79816,107.55295,36.82566142910129,-58.41459258360556,0.1285757070894604,12.68083010834409,605.3956,42.93658,542.1434,189.24399,545.8238,79.44481,589.748,118.34655,621.6145,323.51962,23.014242450334
1435,605.5297,45.42838,0.95791465,564.655,79.51869,0.97381186,589.5561,98.620186,0.98872817,574.94385,91.12667,0.84892875,559.79816,108.985435,0.9435914,546.30383,80.98544,0.9266193,589.748,118.34697,0.8091145,540.04694,147.58351,1.0,542.098,189.27682,1.0,621.56476,323.51562,0.8606956,0.08318012,0.046430424,0.08459161,0.032408006,0.047749583,0.05378965,1.3987224e-05,0.029811604,0.0018663112,0.0016634681,0.38150474,0.038150474,1.3987224e-05,0.08459161,0.0378027651458978,0.0756055302917957,0.0239527253434062,0.119763626717031,0.0245524488079051,0.1473146928474307,0.0306246997788548,0.2143728984519839,0.0327380697553356,0.4910710463300347,9.309404,0.93094045,0,0,0,559.79816,108.985435,41.22138553378823,-56.92312989593001,1.4914626876755506,18.76939407785067,605.5297,45.42838,542.098,189.27682,546.30383,80.98544,589.748,118.34697,621.56476,323.51562,23.30438810910298
1436,606.0227,49.753696,0.8827219,564.655,81.40973,0.97689676,587.4785,101.83446,1.0,574.5922,93.370445,0.7998817,559.79816,111.041016,0.95688736,546.43835,81.04132,0.90613395,588.68835,119.5717,0.74068135,539.50385,148.11627,1.0,542.0875,189.42122,0.9983484,621.3862,323.50436,0.8637125,0.14511068,0.063034564,0.12757508,0.0757053,0.06851934,0.004855506,0.053983387,0.02535923,0.004825835,0.005962754,0.5749316,0.05749316,0.004825835,0.14511068,0.0478218179196119,0.0956436358392238,0.0330113990232348,0.1650569951161742,0.0295427980211873,0.1772567881271243,0.029258264893932,0.204807854257524,0.0331901406869292,0.4978521103039384,9.125264,0.9125264,0,0,1,559.79816,111.041016,41.025891638574414,-54.41708484738423,2.5060450485457797,0.088189623029751,606.0227,49.753696,542.0875,189.42122,546.43835,81.04132,588.68835,119.5717,621.3862,323.50436,24.29194247958998
1437,609.65656,53.88988,0.95708615,564.9105,81.40973,0.96473527,587.09644,104.13332,1.0,574.1858,94.419174,0.82851374,558.7571,112.10007,1.0,546.4686,81.68937,0.8978893,587.8598,120.942154,0.6798314,538.4931,149.58514,1.0,542.0803,189.84302,0.9945927,621.367,323.50436,0.8620582,0.18352382,0.008516439,0.07768006,0.03749104,0.04950231,0.02162517,0.05338164,0.05943423,0.014062006,0.00064086914,0.5058576,0.050585758,0.00064086914,0.18352382,0.0540394596755504,0.1080789193511009,0.0408625159412622,0.2043125797063112,0.0359404588428636,0.2156427530571818,0.0325489351525902,0.2278425460681319,0.033443694623808,0.501655419357121,9.184708,0.91847074,0,0,1,558.7571,112.10007,42.0599863015093,-49.12294717986415,5.294137667520083,44.50916328630026,609.65656,53.88988,542.0803,189.84302,546.4686,81.68937,587.8598,120.942154,621.367,323.50436,29.05955550959395
1438,611.912,55.11656,0.97093624,565.2525,81.40973,0.97690916,587.09644,105.49141,1.0,574.1858,95.47243,0.88250643,557.93774,113.30588,1.0,546.5571,82.03487,0.9057505,585.7547,123.445274,0.68735766,536.5865,150.86897,1.0,542.00195,190.33897,0.9686254,621.367,323.50436,0.86681604,0.08558115,0.011399332,0.045269523,0.03510844,0.048594587,0.011888402,0.10902124,0.076618835,0.016737001,0.0,0.44021854,0.044021852,0.0,0.10902124,0.0473038051277399,0.0946076102554798,0.0455412603914737,0.2277063019573688,0.0413890720034639,0.2483344320207834,0.037094943624522,0.259664605371654,0.0350635593757033,0.52595339063555,9.258902,0.92589015,0,0,1,557.93774,113.30588,37.51662495827805,-47.00760585417608,2.115341325688064,10.313022266261571,611.912,55.11656,542.00195,190.33897,546.5571,82.03487,585.7547,123.445274,621.367,323.50436,31.159983538168163
