"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_sniffing_up","sniffing_up","Probability_sniffing_down","sniffing_down","Probability_grooming","grooming","Probability_rearing","rearing","Probability_turning","turning","Probability_moving","moving","Probability_rest","rest","Probability_running","running","Probability_top","top","Probability_other","other"
"265",818.3369,625.334,0.8598633,797.6494,613.03516,0.87939453,796.194,637.4004,1,789.58203,621.6279,1,771.8923,616.5371,0.99121094,778.4336,598.6465,0.90185547,765.73047,639.9707,0.9848633,706.71387,612.749,1,630.125,605.66016,1,490.40527,574.40625,0.85791016,0.062288735,0.08810195,0.05765341,0.07912132,0.09002899,0.12764876,0.15409903,0.2409171,0.3433991,0.24055594,1.4838145,0.14838144,0.05765341,0.3433991,0.16584176,0.33168352,0.23001215,1.1500608,0.248942,1.493652,0.26465946,1.8526162,0.43218863,6.482829,9.475098,0.94750977,0,0,0,0.0035,0,0.004,0,0,0,0.234,0,0.018,0,0.8425,1,0.002,0,0.727,1,0.038,0,0.0015,0
"266",818.3047,625.2363,0.703125,799.7363,613.16504,0.81103516,797.33203,638.35547,1,793.24023,621.85547,1,777.04297,617.5625,0.93115234,780.4729,598.6035,0.8486328,770.1084,639.3203,1,712.9512,616.2422,0.9003906,637.11035,610.375,1,498.82715,579.85205,0.92578125,0.003427875,0.0696984,0.04952394,0.12217576,0.17505902,0.06799197,0.14753257,0.23829526,0.2809209,0.33430645,1.4889321,0.1488932,0.003427875,0.33430645,0.14863732,0.29727465,0.20845918,1.0422959,0.21649233,1.2989539,0.23464932,1.6425452,0.40051696,6.0077543,9.120117,0.91201174,0,0,1,0.013,0,0.0135,0,0,0,0.0705,0,0.0205,0,0.9025,1,0.013,0,0.1665,0,0.0915,0,0.005,0
"267",818.49805,624.65234,0.6567383,801.6289,615.74023,0.8388672,799.25,639.6543,1,795.1123,624.55273,1,780.05334,619.3291,0.97021484,783.1387,600.52734,0.80078125,774.99414,640.1582,1,719.15234,622.8594,0.8203125,646.7031,612.55566,1,507.53247,583.47656,0.87646484,0.020505436,0.10652847,0.07721225,0.10944247,0.116348356,0.1095823,0.16523565,0.3022907,0.327917,0.3143242,1.6493869,0.16493869,0.020505436,0.327917,0.15691595,0.3138319,0.18624167,0.9312084,0.20120578,1.2072346,0.20912752,1.4638926,0.36631194,5.494679,8.963379,0.89633787,0,0,1,0.038,0,0.017,0,0.001,0,0.0775,0,0.005,0,0.872,1,0.001,0,0.111,0,0.137,0,0.0045,0
"268",816.17773,623.6328,0.53515625,802.17773,613.45703,0.91552734,803.3799,637.88574,1,798.47656,623.9883,1,784.20703,621.16113,0.8989258,784.2656,601.1328,0.80078125,778.03613,641.78906,1,725.2363,629.4072,0.9121094,652.0997,615.50977,1,517.0254,592.81055,0.71240234,0.08448073,0.078274645,0.1497543,0.11370936,0.15132543,0.042643428,0.11505273,0.2979359,0.20507294,0.44377023,1.6820195,0.16820195,0.042643428,0.44377023,0.16657032,0.33314064,0.16274348,0.81371737,0.18323505,1.0994103,0.19649094,1.3754365,0.3331564,4.9973464,8.774902,0.8774902,0,0,2,0.0185,0,0.008,0,0,0,0.025,0,0.024,0,0.9035,1,0.0005,0,0.0815,0,0.23,0,0.0015,0
"269",817.375,622.8496,0.48046875,802.5957,614.5703,0.84033203,804.2073,640.3906,1,798.87305,625.2051,1,784.91797,625.3262,0.8857422,784.6992,604.1848,0.82714844,779.4741,646.7637,0.9526367,728.0996,635.13184,0.84765625,657.86523,617.0625,0.9873047,515.3198,617.5801,0.8666992,0.047689416,0.039638545,0.08793316,0.042658783,0.14084263,0.10275494,0.17260922,0.21335815,0.19903298,0.8276061,1.8741239,0.1874124,0.039638545,0.8276061,0.17780718,0.35561436,0.16356553,0.8178277,0.16685496,1.0011297,0.18383181,1.2868227,0.30278245,4.5417366,8.687988,0.86879885,0,1,1,0.018,0,0.0125,0,0,0,0.038,0,0.049,0,0.87,1,0,0,0.0935,0,0.18,0,0.0195,0
"270",814.46484,621.4678,0.49804688,802.68164,614.6035,0.8520508,804.99365,640.46484,1,798.8633,626.0215,1,785.0957,626.13184,0.8984375,786.541,605.0928,0.8125,781.1328,646.4238,0.8979492,732.353,637.2051,0.8774414,662.3672,618.33203,1,516.9409,617.41797,0.9711914,0.107385494,0.0030709575,0.026329052,0.027215488,0.027501194,0.06844792,0.056438275,0.15772654,0.15591767,0.054305967,0.6843385,0.06843385,0.0030709575,0.15772654,0.12792313,0.25584626,0.14757602,0.7378801,0.14771026,0.8862615,0.15279481,1.0695636,0.2753483,4.1302247,8.807617,0.88076174,0,1,1,0.0165,0,0.0115,0,0,0,0.0325,0,0.649,1,0.6635,1,0.002,0,0.478,0,0.215,0,0.026,0
"271",817.86523,621.27637,0.52978516,801.24805,614.8164,0.8071289,804.0509,640.5039,1,798.4414,626.06836,1,783.375,626.99805,0.87158203,785.06445,605.4453,0.80615234,780.605,647.26953,0.8886719,730.8955,638.16797,0.9194336,664.0156,617.82227,1,519.56445,604.98486,0.8647461,0.11352578,0.048310496,0.03145193,0.014149039,0.0642144,0.050602157,0.03323018,0.058228683,0.057515282,0.42356297,0.8947909,0.08947909,0.014149039,0.42356297,0.07895647,0.15791294,0.13569319,0.67846596,0.1378932,0.8273592,0.13939151,0.9757406,0.24961917,3.7442875,8.6875,0.86875,0,0,1,0.0355,0,0.0175,0,0,0,0.0675,0,0.5785,1,0.8655,1,0.0015,0,0.079,0,0.575,1,0.0145,0
"272",818.9873,614.0215,0.60595703,800.43555,611.50366,0.80078125,804.7783,639.0586,1,799.0918,623.9922,0.95996094,785.0664,626.74805,0.8652344,782.16797,601.8594,0.80908203,779.81177,646.7988,0.8925781,728.0547,637.14453,0.88623047,664.88086,615.52344,1,517.042,599.15234,0.85009766,0.24470472,0.1136976,0.05393477,0.072522014,0.056992736,0.1536539,0.030745335,0.100651674,0.081875525,0.2118204,1.1205987,0.11205987,0.030745335,0.24470472,0.100769475,0.20153895,0.12511744,0.62558717,0.13175431,0.79052585,0.13420272,0.93941903,0.22108674,3.316301,8.669922,0.8669922,0,0,1,0.0015,0,0.009,0,0,0,0.034,0,0.069,0,0.8485,1,0.0035,0,0.065,0,0.262,0,0.019,0
"273",819.7527,609.5039,0.6010742,799.8906,609.541,0.75390625,805.62305,637.6787,1,800.7617,620.5996,0.9916992,783.6758,622.8633,0.8125,780.8086,598.82227,0.85839844,778.9697,644.1244,0.95654297,727.0254,633.459,0.8261719,665.15625,614.3789,1,516.2268,589.60156,0.93359375,0.15273187,0.06789634,0.0539304,0.1260433,0.13753885,0.11091505,0.09346214,0.12755264,0.039239887,0.31951693,1.2288274,0.12288274,0.039239887,0.31951693,0.11747131,0.23494262,0.11605359,0.58026797,0.12474498,0.7484699,0.13048694,0.9134086,0.19432786,2.914918,8.733887,0.87338865,0,0,1,0,0,0.004,0,0,0,0.036,0,0.6715,1,0.8695,1,0.0025,0,0.008,0,0.2115,0,0.009,0
"274",820.2344,605.0625,0.5366211,797.97656,606.4707,0.7919922,805.02734,629.98535,1,796.7197,617.02734,1,783.18555,618.1367,0.8388672,779.2007,594.5762,0.8286133,776.40234,640.4707,0.9555664,725.1367,628.8008,0.8959961,664.4785,613.1426,1,512.8926,584.4785,0.85302734,0.14891502,0.120602444,0.25721294,0.17981096,0.15839726,0.15134467,0.14885071,0.16755079,0.04699682,0.20375009,1.5834317,0.15834317,0.04699682,0.25721294,0.14061296,0.28122592,0.110239744,0.5511987,0.12310185,0.7386111,0.12954472,0.9068131,0.18095313,2.714297,8.700684,0.8700684,0,0,1,0.0015,0,0.0085,0,0,0,0.0165,0,0.647,1,0.906,1,0.0015,0,0.009,0,0.264,0,0.014,0
