"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_sniffing_up","sniffing_up","Probability_sniffing_down","sniffing_down","Probability_grooming","grooming","Probability_rearing","rearing","Probability_turning","turning","Probability_moving","moving","Probability_rest","rest","Probability_running","running","Probability_top","top","Probability_other","other"
"1016",865.82074,168.81186,0.77544254,824.7774,144.36139,0.91055465,826.24725,180.15056,0.9633142,812.6355,162.39345,0.8809478,799.81354,176.4862,0.9423568,790.87463,147.95663,0.97139233,823.08356,200.19627,0.9373789,781.73346,212.63892,0.9789008,779.12823,253.02779,0.99376947,733.751,412.93015,0.97727376,0.00045369467,0.010655945,0.020692043,0.035680063,0.012845989,0.009042945,0.036124494,0.014002872,0.007863362,0.00021490049,0.14757632,0.014757631,0.00021490049,0.036124494,0.01666227,0.03332454,0.010455061,0.052275304,0.010391483,0.0623489,0.009660119,0.067620836,0.017274607,0.25911912,9.331331,0.9331331,0,0,0,0.153,0,0.012,0,0.0155,0,0.5865,1,0.196,0,0.3705,0,0.21,0,0.0005,0,0.0125,0,0,0
"1017",865.82074,169.27634,0.8169331,823.72876,144.5548,0.90691864,826.1655,180.21667,0.9462981,811.8115,162.43314,0.86231935,799.1217,176.54305,0.9361122,790.1194,148.1629,0.96824,822.20795,200.21439,0.9616914,781.0789,212.64362,0.9822301,779.12823,253.07936,0.9973885,733.74786,412.80185,0.97723424,0.015482585,0.03554437,0.0035040486,0.027497662,0.023138814,0.026096992,0.029193254,0.021818597,0.0017191569,0.0042777886,0.18827328,0.018827328,0.0017191569,0.03554437,0.01679248,0.03358496,0.01361413,0.06807065,0.011850439,0.071102634,0.011596604,0.08117623,0.017397264,0.26095897,9.355366,0.93553656,0,0,0,0.1585,0,0.006,0,0.0045,0,0.5185,1,0.193,0,0.2085,0,0.2095,0,0.0005,0,0.056,0,0,0
"1018",865.83435,169.38084,0.8060462,823.72876,144.57224,0.90474546,826.10254,180.3832,0.9502293,811.4953,162.46957,0.85759664,798.6918,176.9007,0.9369801,789.3243,148.53964,0.96622604,822.1576,200.21439,0.9719671,780.3976,212.87805,0.9739289,779.12823,253.23921,1,733.7452,412.74176,0.97780925,0.0035130014,0.00058135984,0.0059344713,0.010610519,0.01864151,0.029328117,0.0016784668,0.02401801,0.0053283693,0.0020049696,0.101638794,0.010163879,0.00058135984,0.029328117,0.014495604,0.028991207,0.0141231,0.0706155,0.013039089,0.07823453,0.011609501,0.08126651,0.01612684,0.24190259,9.345529,0.93455285,0,0,0,0.077,0,0.0105,0,0.011,0,0.567,1,0.0965,0,0.301,0,0.2635,0,0,0,0.025,0,0,0
"1019",866.4479,169.38084,0.7915756,823.72876,144.57224,0.91716814,826.10254,180.3832,0.9714922,811.4953,162.73712,0.8633061,798.6918,176.9619,0.9376154,789.10156,148.686,0.9593507,821.9723,200.21439,0.9639847,780.117,213.24289,0.9761502,779.1338,253.37651,0.9967446,733.6753,412.73303,0.9810206,0.020450847,0,0,0.008918254,0.0020401,0.0088835005,0.0061767576,0.015341696,0.0045803627,0.0023476058,0.06873912,0.006873912,0,0.020450847,0.008518895,0.01703779,0.013837932,0.06918966,0.012914902,0.07748941,0.012158349,0.085108444,0.015603225,0.23404838,9.358408,0.9358408,0,0,0,0.048,0,0.0135,0,0.0125,0,0.7585,1,0.0295,0,0.223,0,0.166,0,0,0,0.011,0,0,0
"1020",867.99457,169.38084,0.79772025,823.5724,144.99107,0.9196626,826.10254,180.40074,0.99197066,811.4953,163.2003,0.8667138,798.6918,176.9619,0.9370657,789.10156,148.90257,0.9425262,820.9718,200.0355,0.9716721,779.62756,213.7186,0.96930784,779.1338,253.37651,0.99413854,733.66705,412.71933,0.98166233,0.051556397,0.01490257,0.0005849202,0.015439351,0,0.007218933,0.03387845,0.022751082,0,0.00053296756,0.14686468,0.014686468,0,0.051556397,0.01078019,0.02156038,0.013061844,0.06530922,0.013979354,0.083876126,0.013167983,0.09217588,0.014921098,0.22381647,9.37244,0.93724406,0,0,0,0.1525,0,0.005,0,0.011,0,0.616,1,0.014,0,0.1385,0,0.224,0,0.0015,0,0.0315,0,0,0
"1021",868.654,169.38084,0.768493,823.5724,145.00038,0.9175792,826.2569,180.54112,0.98791397,811.7049,163.20055,0.86177444,799.98517,177.28348,0.92992914,789.0597,149.0222,0.9423137,820.767,200.0355,0.97607744,778.9327,213.85767,0.9639414,779.1338,253.49411,0.9946429,733.66693,412.71933,0.9833213,0.021980794,0.00031026205,0.0069548665,0.006986496,0.044425797,0.0042248187,0.006825765,0.023622155,0.003919983,0.0000040690106,0.11925501,0.011925501,0.0000040690106,0.044425797,0.013305984,0.026611969,0.012495418,0.06247709,0.012872454,0.07723472,0.013685946,0.09580163,0.013138669,0.19708003,9.325987,0.9325987,0,0,0,0.0575,0,0.01,0,0.0065,0,0.664,1,0.027,0,0.1925,0,0.3025,0,0.0035,0,0.035,0,0,0
"1022",868.9453,167.65166,0.8246077,823.6413,145.01149,0.9172703,826.39197,180.5486,0.9958322,811.89325,163.30444,0.8656242,799.98517,177.28348,0.9331409,789.0597,149.0382,0.94121313,820.767,200.0355,0.98044944,778.9327,213.86224,0.9647272,778.9459,253.5592,0.99516743,733.6632,412.71933,0.9839928,0.058451835,0.0023266105,0.004509253,0.0071703107,0,0.0005330404,0,0.00015258789,0.0066274633,0.00012410482,0.079895206,0.00798952,0,0.058451835,0.009957511,0.019915022,0.010327856,0.05163928,0.011744435,0.07046661,0.012174891,0.08522424,0.011178796,0.16768195,9.402025,0.94020253,0,0,0,0.314,0,0.007,0,0.0045,0,0.4155,0,0.0695,0,0.2935,0,0.1735,0,0.0005,0,0.014,0,0,0
"1023",868.9453,167.64243,0.8216884,823.5724,145.34753,0.9155937,826.39197,180.5486,1,811.89325,163.6106,0.8657757,799.98517,177.28348,0.9406657,789.0836,149.0655,0.93856984,820.767,200.08815,0.97762465,778.9327,213.86224,0.96475536,778.9459,253.5592,0.9932066,733.6632,412.80173,0.98190165,0.0003077189,0.011434557,0,0.010205078,0,0.0012103516,0.0017547607,0,0,0.002746582,0.02765905,0.0027659049,0,0.011434557,0.0053777127,0.010755425,0.008848261,0.044241305,0.009067531,0.054405186,0.010461788,0.07323252,0.010029208,0.15043812,9.399782,0.93997824,0,0,0,0.2775,0,0.023,0,0.018,0,0.2815,0,0.108,0,0.4225,0,0.3305,0,0,0,0.0725,0,0,0
"1024",868.9453,167.49644,0.8124762,823.43414,145.39784,0.9279692,826.39197,180.97878,1,811.89325,163.73602,0.86330885,798.7,177.8389,0.94728476,789.13715,149.0655,0.9397778,820.9418,200.11151,0.9678722,779.171,213.86224,0.9708592,778.9459,253.74376,0.99052364,733.6632,412.85843,0.9845085,0.0048660277,0.004903796,0.014339193,0.004180908,0.046668068,0.0017842611,0.0058766096,0.007944743,0.006151835,0.0018900554,0.09860549,0.009860549,0.0017842611,0.046668068,0.006313227,0.012626454,0.009445589,0.04722794,0.009016976,0.054101855,0.00918082,0.064265735,0.010047593,0.15071389,9.40458,0.940458,0,0,0,0.4725,0,0.0035,0,0.0015,0,0.295,0,0.208,0,0.4965,0,0.236,0,0.004,0,0.0555,0,0,0
"1025",868.13965,167.49644,0.8343508,823.038,145.43634,0.94699013,826.2458,181.19691,1,811.46875,163.73645,0.8680301,798.7,177.91565,0.95670444,789.2171,149.0655,0.9497947,821.41895,200.15373,0.9575231,779.754,213.74208,0.9777555,778.9526,253.74376,0.991197,733.68787,412.98276,0.97729295,0.026855469,0.013266151,0.008752984,0.014149991,0.0025583904,0.002665202,0.015967904,0.019842079,0.00022176107,0.004225009,0.108504936,0.010850494,0.00022176107,0.026855469,0.010355521,0.020711042,0.008678393,0.04339197,0.009679739,0.058078438,0.009278907,0.06495235,0.010419497,0.15629245,9.459639,0.94596386,0,0,0,0.7125,1,0.001,0,0.0005,0,0.2455,0,0.2155,0,0.3685,0,0.291,0,0.0015,0,0.057,0,0,0
