scorer,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.1,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.2,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.3,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.4,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.5,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.6,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.7,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.8,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.9,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.10,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.11,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.12,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.13,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.14,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.15,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.16,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.17,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.18,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.19,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.20,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.21,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.22,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.23,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.24,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.25,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.26,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.27,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.28,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.29
bodyparts,nose,nose,nose,leftEar,leftEar,leftEar,rightEar,rightEar,rightEar,neck,neck,neck,spineUpper,spineUpper,spineUpper,leftShoulder,leftShoulder,leftShoulder,rightShoulder,rightShoulder,rightShoulder,spineMid,spineMid,spineMid,spineLower,spineLower,spineLower,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1636,875.0571,478.9414,0.8071289,824.16406,471.9414,0.7109375,832.0547,505.14062,0.8071289,822.9219,494.21484,0.97314453,802.8457,492.51465,0.96875,811.9842,462.72266,0.95166016,816.08203,512.8008,0.97216797,769.6289,493.91113,0.9589844,756.09784,520.3379,0.9345703,625.0156,566.5625,0.9448242
1637,874.8701,479.12695,0.8105469,824.0762,471.8125,0.7167969,831.96094,505.08398,0.8027344,822.58594,494.03516,0.9692383,802.82227,492.49585,0.9711914,811.79626,462.72656,0.9501953,815.7637,512.8242,0.96875,769.666,493.99023,0.96191406,756.09656,520.3711,0.9355469,625.0879,566.2129,0.9472656
1638,872.71875,481.5879,0.8408203,822.75586,473.39453,0.7270508,831.9238,504.96094,0.8017578,822.6094,494.06055,0.9692383,802.917,492.58838,0.97509766,811.7495,462.6875,0.95703125,815.5,512.93945,0.9628906,769.7012,493.9873,0.96191406,756.0842,520.3457,0.93310547,625.05664,565.96387,0.9477539
1639,874.81055,479.26562,0.8017578,822.5801,473.40625,0.72802734,832.03516,504.93555,0.8017578,822.85547,494.06445,0.96972656,802.9756,492.69482,0.9682617,811.6919,462.63672,0.9609375,815.93164,512.9883,0.96728516,769.8086,493.96582,0.9663086,755.99445,520.3613,0.9375,625.2578,565.9404,0.9458008
1640,874.93945,478.7832,0.77685547,822.5039,473.46484,0.72216797,830.66016,506.18457,0.80859375,823.02734,494.08398,0.9692383,803.0117,492.75098,0.96435547,811.7405,462.64453,0.9604492,816.1797,513.0449,0.9707031,769.9551,493.81836,0.97314453,755.98645,520.2754,0.93652344,625.38477,565.8965,0.9501953
1641,874.8789,478.9297,0.7993164,822.4336,473.29688,0.73291016,830.35156,506.16016,0.80029297,822.8008,493.8418,0.9682617,802.9844,492.67578,0.97021484,811.63257,462.6172,0.95751953,815.98047,513.08594,0.97314453,769.8789,493.89648,0.9667969,756.0302,520.2754,0.9350586,625.3574,565.8115,0.9555664
1642,872.15625,482.47852,0.921875,822.3574,473.25,0.75097656,831.91406,504.65234,0.7866211,822.2539,493.56543,0.9741211,802.9043,492.58496,0.9746094,809.6875,462.76172,0.95166016,815.6367,512.9707,0.9741211,769.78125,494.0664,0.9609375,756.07983,520.2637,0.93310547,625.30273,565.7881,0.95410156
1643,871.8496,483.73364,0.9863281,821.95703,473.27734,0.7631836,831.3828,504.5332,0.7817383,821.4922,493.23926,0.96191406,802.50977,492.64453,0.9794922,809.21875,462.88672,0.9633789,815.1953,512.8301,0.9760742,769.64844,494.25977,0.9589844,756.10614,520.2363,0.9316406,625.24414,565.7471,0.9550781
1644,871.7969,483.946,1.0,821.8037,473.41406,0.76123047,831.2012,504.61914,0.79785156,821.1719,493.3545,0.96484375,802.26953,492.82617,0.9892578,808.89453,463.03516,0.97265625,815.13477,512.89453,0.9838867,769.53516,494.29102,0.9555664,756.1448,520.1992,0.9296875,625.24414,565.7256,0.95654297
1645,872.0547,483.43652,0.98339844,822.8008,471.85547,0.75390625,831.2285,504.79883,0.80810547,822.2539,492.64453,0.95947266,802.3828,492.80762,0.9838867,808.8242,463.15234,0.97998047,815.15234,513.0039,0.9863281,769.2383,493.90625,0.95947266,756.1404,520.19727,0.92871094,625.25,565.72266,0.9555664
