scorer,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.1,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.2,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.3,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.4,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.5,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.6,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.7,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.8,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.9,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.10,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.11,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.12,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.13,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.14,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.15,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.16,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.17,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.18,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.19,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.20,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.21,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.22,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.23,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.24,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.25,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.26,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.27,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.28,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.29
bodyparts,nose,nose,nose,leftEar,leftEar,leftEar,rightEar,rightEar,rightEar,neck,neck,neck,spineUpper,spineUpper,spineUpper,leftShoulder,leftShoulder,leftShoulder,rightShoulder,rightShoulder,rightShoulder,spineMid,spineMid,spineMid,spineLower,spineLower,spineLower,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
132,450.67322,130.13362,0.82698053,388.7472,133.7869,0.69177115,422.3933,146.02849,0.6467661,401.8271,144.20815,0.6634672,393.06726,160.7328,0.64270496,374.5288,155.3436,0.42691514,437.06332,188.63937,0.46307334,391.61453,221.18346,0.6664229,415.3509,362.80856,0.9764248,441.97784,551.4142,0.80351573
133,462.05124,130.0595,0.88270825,389.40945,132.19365,0.7825263,421.06522,144.09071,0.5004365,404.86838,141.15106,0.7161751,404.50192,161.49329,0.5950255,376.94205,160.01598,0.52033454,440.2998,191.55737,0.4927247,392.5589,221.23782,0.6753805,416.52988,358.56763,0.92275107,441.87735,551.8821,0.74645454
134,472.64975,129.4592,0.81185925,399.16513,130.99492,0.8129238,431.63925,145.94028,0.7624279,408.78558,144.107,0.7701915,405.64914,170.9213,0.6192692,383.70233,161.23955,0.5525367,444.20456,192.96858,0.47967976,390.41714,221.74619,0.64392596,415.37784,353.16714,0.89406943,439.03223,553.8835,0.8591571
135,480.196,129.17334,0.9328002,411.3771,129.25842,0.7751678,438.30096,149.84596,0.6961538,418.5168,143.60678,0.6577978,409.90375,167.61696,0.606874,386.50607,159.9599,0.5202863,442.5502,203.19972,0.54273427,382.7866,217.8184,0.75528115,415.78967,346.9976,0.9754868,441.1922,553.25037,0.8549205
136,488.77682,135.92345,0.796938,427.56293,127.60109,0.5727651,443.9656,150.69882,0.7111179,429.5036,148.90889,0.7073787,421.25607,170.14449,0.5584503,395.67407,162.31178,0.4263441,436.8733,202.25995,0.370322,369.8129,212.73514,0.7181503,415.14044,345.48953,0.9705118,440.7984,552.7952,0.8507682
137,493.87854,135.89772,0.82065386,450.03564,141.41223,0.53268605,446.70963,152.42299,0.62984586,440.00327,141.49727,0.778916,414.07153,158.22786,0.34550264,393.42975,165.15686,0.42536408,437.05026,201.77518,0.30079308,373.32687,257.50964,0.8342003,411.5199,344.05453,0.89387405,439.5383,552.1095,0.8045029
138,497.6167,132.49438,0.933956,447.5119,131.38776,0.5299244,446.67197,150.78026,0.62714565,441.4164,144.15787,0.82091683,413.3681,158.88351,0.3778835,389.07794,161.35463,0.4720928,367.78867,290.7995,0.24980307,371.2662,255.04309,0.75933224,406.16547,339.55368,0.8936744,438.8413,551.9823,0.8523093
139,495.99515,130.48764,0.83594096,440.15643,123.68261,0.5736652,448.0313,151.01245,0.65883565,439.051,142.99516,0.8031587,406.88834,160.0037,0.41691372,391.0494,153.34692,0.59368277,367.132,290.33615,0.2756594,368.86945,202.31796,0.77575177,401.63556,338.215,1.0,437.77872,550.4994,0.8302005
140,499.29352,128.45374,0.9289496,439.95102,122.65626,0.63159716,440.8691,153.17195,0.672207,436.7944,142.60468,0.6736162,404.54843,160.12228,0.4601023,392.02277,151.46039,0.6494688,442.56116,193.35855,0.34010616,371.4237,201.8397,0.75196093,400.4049,339.5301,1.0,436.91968,550.12604,0.8427376
141,503.20007,122.84997,1.0,442.77167,121.64591,0.57743126,441.82962,150.6726,0.63318986,445.90973,138.89056,0.5621398,398.58774,165.72986,0.41342363,389.92676,150.7692,0.57008165,445.6036,190.94989,0.3451329,371.31564,246.14626,0.7641619,401.04938,337.72592,1.0,434.23853,548.84796,0.9074071
142,505.31424,119.51835,0.90734404,444.12894,119.95156,0.66440827,450.28302,145.75026,0.63923144,446.20728,137.47148,0.6570749,405.48428,163.79655,0.42312294,390.3534,150.51219,0.68155164,444.85568,193.75348,0.37146962,372.46515,242.178,0.7860397,400.93863,332.47302,0.9988096,433.77515,546.45636,0.8526843
143,504.85718,126.67704,0.8726468,448.2963,115.20281,0.6279819,456.30658,136.65332,0.5095576,445.5197,136.24376,0.64367944,408.2258,159.76308,0.38554117,393.22092,149.11804,0.728633,445.2842,193.77553,0.3758862,371.94388,240.3129,0.75512457,399.75507,332.12564,0.9474991,433.5601,544.98267,0.86057824
