"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p"
"518",845.5463,623.1413,0.8911179,798.3074,589.4827,0.85528016,792.8879,621.0713,0.90184104,786.9441,602.6187,0.83518296,769.81946,599.0223,0.8335808,779.6912,575.2893,0.9057563,769.2679,624.38074,0.7091786,717.00214,586.341,0.87932825,668.79333,556.63715,0.95619667,513.432,487.85028,0.83530474
"519",845.38336,622.04266,0.9195652,798.3074,589.1771,0.8541025,792.5799,620.8349,0.88496166,786.7558,602.3282,0.83793736,769.81946,598.9943,0.82290924,779.6912,574.5022,0.8984279,769.0684,623.7255,0.71400476,717.00214,584.4889,0.88091606,668.8267,556.51855,0.94857484,513.50995,487.78253,0.82810247
"520",844.089,619.89056,0.8889167,797.2991,588.5562,0.84895015,791.8125,620.39984,0.85093486,786.1101,601.9043,0.84721076,769.2878,598.5219,0.8163663,779.6912,573.7336,0.8844532,769.0283,623.3625,0.73480415,717.00214,583.56464,0.9120305,668.97034,556.51855,0.9486504,514.0617,486.63058,0.8476816
"521",842.3358,617.4834,0.8493269,795.6298,586.6178,0.8579128,789.7822,619.4242,0.8814174,784.8301,600.92053,0.8565198,769.27045,597.93146,0.83919203,778.3975,573.4548,0.8565287,768.8397,623.29694,0.7740493,716.41144,583.21136,0.9340716,668.97034,556.5083,0.9456572,515.61334,485.73734,0.9160318
"522",841.4435,614.5486,0.830209,794.71045,584.9699,0.78643817,788.02136,618.03064,0.8845309,784.433,599.46045,0.8584641,768.0587,596.91406,0.82838327,775.923,571.86725,0.82958275,767.4675,621.3548,0.80768746,716.0291,583.1536,0.92612004,668.97034,555.56244,0.9510206,516.81946,485.6812,0.9444568
"523",841.1353,612.5922,0.8526246,793.12714,584.52673,0.7781022,786.7904,617.837,0.9093509,783.1404,599.159,0.9076424,766.5713,596.6573,0.82848746,774.54395,571.479,0.83881646,765.56555,621.3539,0.8166605,715.5816,583.1536,0.9304084,669.1152,555.56244,0.9446432,517.20966,485.60367,0.9338779
"524",841.014,611.09546,0.8653894,791.5686,584.5015,0.7599013,786.4903,617.2947,0.9304094,782.4443,598.6918,0.92484236,766.20166,596.4821,0.8296912,773.9936,571.4235,0.8267019,763.68195,620.74567,0.8251976,715.26263,582.8602,0.9431934,669.1152,555.56244,0.93668497,517.3422,485.42648,0.9280488
"525",840.9979,610.35333,0.8590711,791.27997,584.2054,0.78564644,785.6101,617.10284,0.93658143,781.02734,598.47186,0.93146193,765.1709,596.251,0.82981896,772.84393,571.31805,0.82035303,762.1494,620.59283,0.8153067,714.4729,583.21136,0.9325051,669.1152,555.6506,0.9302904,517.3422,485.42648,0.92939734
"526",840.038,609.9872,0.8734589,790.8619,583.73444,0.79214925,784.98505,616.4649,0.95075047,780.1749,597.4838,0.94721234,764.37646,595.539,0.8065313,772.68896,570.4236,0.8018541,760.9918,619.2714,0.8293319,713.2293,582.9338,0.9224042,669.1152,555.85266,0.9209304,517.3422,485.33237,0.9267182
"527",840.038,609.9872,0.85830855,790.19183,583.2267,0.79868454,784.76636,616.2448,0.9670689,779.1666,596.9825,0.9398768,763.5398,595.1354,0.7870369,772.0188,569.482,0.7766543,760.80096,618.98975,0.82324886,712.6426,582.9338,0.92660373,669.1152,556.2435,0.9172982,517.3422,485.32394,0.92650145
"528",840.038,609.9872,0.8422423,790.19183,583.1598,0.79863656,784.50024,615.866,0.978156,778.9305,596.48175,0.93895537,763.0325,595.10675,0.7652705,771.501,569.37177,0.7518316,759.4898,618.6002,0.8523922,711.80804,582.67847,0.93802494,669.36646,556.80804,0.9163001,517.359,485.31458,0.92560196
"529",839.77905,610.0091,0.8484818,790.19183,583.1228,0.78882277,784.4252,615.866,0.98222315,778.9305,596.46204,0.94821805,763.0325,594.7447,0.7627324,771.501,568.17926,0.74890405,759.0352,618.4898,0.8524653,711.6956,582.67847,0.9326456,669.43384,556.9648,0.91928536,517.5428,485.09384,0.92896134
"530",839.85785,611.683,0.8691137,790.29285,583.1228,0.7854502,784.0918,615.866,0.961924,778.9305,596.46204,0.94516003,763.0325,594.18365,0.76954126,771.501,568.17926,0.75493425,759.00665,618.15704,0.8467057,711.61993,582.21344,0.92530215,669.43384,557.0958,0.91918623,517.5428,484.98788,0.92807984
"531",839.85785,612.52277,0.8727884,791.12805,583.2267,0.76807106,784.0326,615.98376,0.9606745,779.7924,596.48175,0.95231724,763.04913,594.18365,0.75718623,771.9232,568.17926,0.7703498,758.99756,618.15704,0.845468,711.5799,581.4219,0.9333591,669.43384,557.1938,0.91800606,517.5718,484.9244,0.9306232
"532",839.85785,615.4742,0.8349152,792.19196,584.1893,0.7683041,784.0326,616.5072,0.953424,780.43176,596.7413,0.9467213,763.0503,594.18365,0.75752985,772.71686,569.0139,0.768423,757.76556,618.15704,0.85208136,711.5301,580.5039,0.9313203,669.46204,557.2301,0.91601884,517.59845,484.7638,0.93679184
"533",839.85785,617.84125,0.9066463,793.1458,585.6041,0.8039753,784.0592,617.4129,0.9467272,780.55585,597.9649,0.9336839,763.31335,594.6383,0.7716619,773.7967,569.6732,0.7930116,757.76556,618.8648,0.84238136,711.5301,580.5039,0.9281656,669.42096,557.2301,0.91861653,517.60516,484.7638,0.92918426
"534",840.1951,618.037,0.88517445,793.16077,586.4597,0.8100135,784.0918,618.02673,0.9405976,780.8307,598.49335,0.926607,763.6471,594.93396,0.7534842,773.8565,570.1673,0.7962755,757.76556,619.2653,0.85116976,711.5799,580.5039,0.9207815,669.3413,557.208,0.9109421,517.60516,484.7638,0.9307199
"535",841.15424,618.38525,0.87666124,793.2649,587.45764,0.8082544,785.94507,619.0358,0.9504647,781.906,600.3696,0.89702207,764.2005,596.7243,0.7682311,774.01965,571.3286,0.8497064,758.96735,621.1631,0.8322263,711.71875,580.72095,0.9355312,669.3057,557.208,0.91787463,517.77747,484.7638,0.9337106
"536",842.32916,618.40063,0.8754964,794.68494,588.1095,0.80169815,788.6448,620.16327,0.941346,783.8899,601.2967,0.83855927,766.12036,598.66284,0.77527094,774.4494,572.6252,0.87825984,761.87964,622.7873,0.75378305,712.4113,580.87476,0.91538316,669.15137,557.3419,0.92630017,517.80457,484.7638,0.941003
