target_present,Movement_leftEar,Movement_leftShoulder,Movement_neck,Movement_nose,Movement_rightEar,Movement_rightShoulder,Movement_spineLower,Movement_spineMid,Movement_spineUpper,Movement_tailBase,All_bp_movements_Animal_1_sum,All_bp_movements_Animal_1_mean,All_bp_movements_Animal_1_min,All_bp_movements_Animal_1_max,Mean_All_bp_movements_Animal_1_mean_2,Sum_All_bp_movements_Animal_1_mean_2,Mean_All_bp_movements_Animal_1_mean_5,Sum_All_bp_movements_Animal_1_mean_5,Mean_All_bp_movements_Animal_1_mean_6,Sum_All_bp_movements_Animal_1_mean_6,Mean_All_bp_movements_Animal_1_mean_7.5,Sum_All_bp_movements_Animal_1_mean_7.5,Mean_All_bp_movements_Animal_1_mean_15,Sum_All_bp_movements_Animal_1_mean_15,Sum_probabilities,Mean_probabilities,Low_prob_detections_0.1,Low_prob_detections_0.5,Low_prob_detections_0.75
1,0.8927759,0.7468503000000001,0.2003571,0.6444206,0.37053937,0.19555445,0.06730798,0.6961861,0.09624909,0.65889263,4.5691338,0.45691338,0.06730798,0.8927759,0.3823217451572418,0.7646434903144836,0.292537522315979,1.462687611579895,0.2967167397340138,1.7803004384040833,0.2884739339351654,2.0193175375461583,0.2225240399440129,3.3378605991601944,9.1015625,0.91015625,0,0,0
1,0.08486746,0.23690288,0.22033767,0.21292853,0.24814647,0.17024933,0.02656266,0.01413424,0.033203382,0.051167443,1.2985002,0.12985002,0.01413424,0.24814647,0.1326336562633514,0.2652673125267029,0.1202024221420288,0.601012110710144,0.1088816933333873,0.6532901600003242,0.1006989346018859,0.7048925422132015,0.0739077349503835,1.1086160242557526,9.34668,0.93466794,0,0,1
1,0.15954684,0.14267233,0.10920661,0.15355787,0.07350156,0.1560454,0.1259022,0.067092404,0.037330937,0.08857198,1.1134281,0.111342825,0.037330937,0.15954684,0.1620098911225795,0.3240197822451591,0.1822946980595588,0.9114734902977945,0.2236779195566972,1.3420675173401833,0.2569972713078771,1.79898089915514,0.2560875937342644,3.8413139060139656,9.193359,0.91933596,0,0,0
1,0.29936278,0.1413631,0.34337777,0.16167836,0.15371437,0.042267896,0.2125993,0.11871109,0.023205595,0.024071842,1.5203521,0.1520352,0.023205595,0.34337777,0.1492601037025451,0.2985202074050903,0.1342580825090408,0.6712904125452042,0.1304512843489647,0.7827077060937881,0.1285046168736049,0.8995323181152344,0.083001364270846,1.2450204640626907,9.237793,0.9237793,0,0,1
1,0.15390499,0.32298994,0.272667,0.24491803,0.32917538,0.21097915,0.25368923,0.08469252,0.113488235,0.073012546,2.059517,0.20595169,0.073012546,0.32917538,0.1586472578346729,0.3172945156693458,0.1545975461602211,0.7729877308011055,0.1862375301619371,1.1174251809716225,0.2211456011448588,1.5480192080140114,0.2572057172656059,3.858085758984089,9.196777,0.91967773,0,0,0
1,0.0483401859999999,0.051806565,0.049272224,0.039977834,0.012467108,0.050839722,0.18668811,0.16707923,0.08720371,0.11227739,0.8059521,0.08059521,0.012467108,0.18668811,0.1215081289410591,0.2430162578821182,0.2949922233819961,1.4749611169099808,0.2971152042349179,1.7826912254095078,0.2857956566980907,2.000569596886636,0.2557768752177557,3.836653128266336,9.331543,0.9331543,0,0,1
1,0.5810622,0.33448517,1.2768445,0.23522066,0.14474902,0.20351098,0.30428034,0.055169627,0.021383481,0.01942244,3.1761286,0.31761283,0.01942244,1.2768445,0.2783149629831314,0.5566299259662628,0.240776515007019,1.2038825750350952,0.2259862969319025,1.3559177815914154,0.2146289689200265,1.5024027824401855,0.1503197088837623,2.2547956332564354,8.489746,0.8489745999999999,0,0,2
1,0.04892314,0.06554183,0.1262763999999999,0.11806059,0.08062393,0.07289156,0.09746705,0.09278185,0.01382479,0.04411428,0.76050544,0.076050535,0.01382479,0.1262763999999999,0.1227768957614898,0.2455537915229797,0.1551050528883934,0.775525264441967,0.1426867457727591,0.8561204746365547,0.1455059317605836,1.0185415223240852,0.2382582291960716,3.5738734379410744,9.268555,0.92685544,0,0,0
1,0.65635437,0.10740308,0.23549025,0.09425782,0.24349803,0.096307985,0.20692371,0.17358741,0.012476412,0.06549931,1.8917984,0.18917984,0.012476412,0.65635437,0.1782518178224563,0.3565036356449127,0.156974771618843,0.7848738580942154,0.1533818592627843,0.920291155576706,0.1468277211700167,1.0277940481901169,0.1024037721256415,1.5360565818846226,8.859375,0.8859375,0,0,2
1,0.43356696,0.42025486,0.33554262,0.35223293,0.21493062,0.20904797,0.14914602,0.007715599,0.07598807,0.009244104,2.2076697,0.22076699,0.007715599,0.43356696,0.2691899091005325,0.5383798182010651,0.2514651536941528,1.2573257684707642,0.2374415944019953,1.424649566411972,0.2252406818526132,1.5766847729682922,0.1618708210686842,2.4280623160302643,8.288574,0.8288574000000001,0,0,3
1,0.209023,0.19234702,0.26492363,0.21068296,0.16309842,0.13147424,0.11310751,0.09797964,0.04534351,0.036870003,1.46485,0.146485,0.036870003,0.26492363,0.1381675079464912,0.2763350158929825,0.1261344999074936,0.6306724995374681,0.1245828519264857,0.7474971115589142,0.1142535944070134,0.7997751608490944,0.0777894417444864,1.1668416261672974,9.188477,0.9188477,0,0,1
1,0.29937747,0.19204886,0.31502756,0.36844406,0.09947138,0.30542117,0.2790518,0.48541412,0.034524642,0.011390066,2.390171,0.2390171,0.011390066,0.48541412,0.2648830562829971,0.5297661125659943,0.2076609909534454,1.0383049547672272,0.1974649926026662,1.184789955615997,0.1878057100943156,1.3146399706602097,0.1309756534794966,1.9646348021924496,7.424804700000001,0.74248046,0,2,4
1,0.15986891,0.13818271,0.13935067,0.1817382,0.31747502,0.2344207,0.2260373,0.2821147,0.34903443,1.1808406,3.209063,0.3209063,0.13818271,1.1808406,0.2931126803159714,0.5862253606319427,0.2338448077440262,1.169224038720131,0.210622518012921,1.263735108077526,0.1913917682000569,1.3397423774003985,0.1801814233263333,2.7027213498950005,9.006836,0.9006835999999999,0,0,1
